wall_time,mcu_ts_ms,lat,lon,pos_east_m,pos_north_m,speed_ms,speed_kmh,heading_deg
2026-06-11T15:54:41.071,179628,-6.97593317,107.63017550,0.000,0.000,0.0088,0.03,90.05
2026-06-11T15:54:41.078,179638,-6.97593317,107.63017550,0.000,-0.000,0.0168,0.06,90.09
2026-06-11T15:54:41.078,179648,-6.97593317,107.63017550,0.000,-0.000,0.0230,0.08,90.11
2026-06-11T15:54:41.082,179658,-6.97593317,107.63017551,0.001,-0.000,0.0281,0.10,90.13
2026-06-11T15:54:41.092,179668,-6.97593317,107.63017551,0.001,-0.000,0.0350,0.13,90.15
2026-06-11T15:54:41.104,179679,-6.97593317,107.63017551,0.001,-0.000,0.0443,0.16,90.15
2026-06-11T15:54:41.114,179690,-6.97593317,107.63017552,0.002,-0.000,0.0538,0.19,90.14
2026-06-11T15:54:41.124,179700,-6.97593317,107.63017552,0.002,-0.000,0.0624,0.22,90.14
2026-06-11T15:54:41.135,179710,-6.97593317,107.63017553,0.003,-0.000,0.0714,0.26,90.14
2026-06-11T15:54:41.146,179721,-6.97593317,107.63017553,0.004,-0.000,0.0813,0.29,90.14
2026-06-11T15:54:41.156,179731,-6.97593317,107.63017554,0.004,-0.000,0.0892,0.32,90.15
2026-06-11T15:54:41.166,179742,-6.97593317,107.63017555,0.005,-0.000,0.0965,0.35,90.16
2026-06-11T15:54:41.176,179752,-6.97593317,107.63017556,0.006,-0.000,0.1036,0.37,90.19
2026-06-11T15:54:41.187,179763,-6.97593317,107.63017557,0.007,-0.000,0.1137,0.41,90.25
2026-06-11T15:54:41.197,179773,-6.97593317,107.63017558,0.008,-0.000,0.1241,0.45,90.30
2026-06-11T15:54:41.207,179783,-6.97593317,107.63017559,0.009,-0.000,0.1336,0.48,90.34
2026-06-11T15:54:41.218,179794,-6.97593317,107.63017560,0.011,-0.000,0.1435,0.52,90.37
2026-06-11T15:54:41.229,179804,-6.97593317,107.63017561,0.012,-0.000,0.1522,0.55,90.39
2026-06-11T15:54:41.238,179814,-6.97593317,107.63017562,0.013,-0.000,0.1608,0.58,90.41
2026-06-11T15:54:41.248,179824,-6.97593317,107.63017563,0.015,-0.000,0.1684,0.61,90.42
2026-06-11T15:54:41.572,179834,-6.97593317,107.63017565,0.016,-0.000,0.1757,0.63,90.42
2026-06-11T15:54:41.573,179844,-6.97593317,107.63017566,0.018,-0.000,0.1834,0.66,90.42
2026-06-11T15:54:41.574,179854,-6.97593317,107.63017568,0.019,-0.000,0.1913,0.69,90.41
2026-06-11T15:54:41.575,179864,-6.97593317,107.63017569,0.021,-0.000,0.1993,0.72,90.40
2026-06-11T15:54:41.576,179874,-6.97593317,107.63017571,0.023,-0.000,0.2069,0.74,90.39
2026-06-11T15:54:41.577,179884,-6.97593317,107.63017572,0.024,-0.000,0.2157,0.78,90.40
2026-06-11T15:54:41.578,179894,-6.97593317,107.63017574,0.026,-0.000,0.2244,0.81,90.40
2026-06-11T15:54:41.579,179904,-6.97593317,107.63017575,0.028,-0.000,0.2312,0.83,90.41
2026-06-11T15:54:41.579,179914,-6.97593317,107.63017577,0.030,-0.000,0.2367,0.85,90.42
2026-06-11T15:54:41.580,179924,-6.97593317,107.63017579,0.032,-0.000,0.2426,0.87,90.43
2026-06-11T15:54:41.581,179934,-6.97593317,107.63017581,0.034,-0.000,0.2492,0.90,90.41
2026-06-11T15:54:41.582,179944,-6.97593317,107.63017583,0.036,-0.000,0.2548,0.92,90.37
2026-06-11T15:54:41.583,179954,-6.97593317,107.63017584,0.038,-0.000,0.2588,0.93,90.32
2026-06-11T15:54:41.585,179964,-6.97593317,107.63017586,0.040,-0.000,0.2626,0.95,90.27
2026-06-11T15:54:41.587,179974,-6.97593318,107.63017810,0.287,-0.002,1.3832,4.98,90.23
2026-06-11T15:54:41.588,179984,-6.97593318,107.63017820,0.298,-0.002,1.3875,5.00,90.20
2026-06-11T15:54:41.588,179994,-6.97593318,107.63017830,0.309,-0.002,1.3921,5.01,90.19
2026-06-11T15:54:41.590,180004,-6.97593318,107.63017839,0.319,-0.002,1.3983,5.03,90.22
2026-06-11T15:54:41.591,180014,-6.97593318,107.63017849,0.330,-0.002,1.4055,5.06,90.27
2026-06-11T15:54:41.591,180024,-6.97593318,107.63017859,0.341,-0.002,1.4120,5.08,90.31
2026-06-11T15:54:41.761,180034,-6.97593318,107.63017868,0.351,-0.002,1.4173,5.10,90.35
2026-06-11T15:54:41.761,180044,-6.97593318,107.63017878,0.362,-0.002,1.4225,5.12,90.40
2026-06-11T15:54:41.762,180054,-6.97593319,107.63017887,0.372,-0.002,1.4289,5.14,90.43
2026-06-11T15:54:41.762,180064,-6.97593319,107.63017897,0.383,-0.002,1.4360,5.17,90.47
2026-06-11T15:54:41.762,180074,-6.97593319,107.63017906,0.393,-0.002,1.4431,5.20,90.53
2026-06-11T15:54:41.762,180084,-6.97593319,107.63017916,0.404,-0.002,1.4507,5.22,90.59
2026-06-11T15:54:41.762,180094,-6.97593319,107.63017925,0.414,-0.002,1.4590,5.25,90.67
2026-06-11T15:54:41.763,180104,-6.97593319,107.63017935,0.425,-0.003,1.4686,5.29,90.74
2026-06-11T15:54:41.763,180114,-6.97593319,107.63017944,0.435,-0.003,1.4779,5.32,90.79
2026-06-11T15:54:41.763,180124,-6.97593319,107.63017954,0.446,-0.003,1.4856,5.35,90.81
2026-06-11T15:54:41.763,180134,-6.97593319,107.63017963,0.456,-0.003,1.4932,5.38,90.81
2026-06-11T15:54:41.763,180144,-6.97593319,107.63017973,0.467,-0.003,1.5011,5.40,90.77
2026-06-11T15:54:41.764,180154,-6.97593320,107.63017982,0.477,-0.003,1.5085,5.43,90.71
2026-06-11T15:54:41.764,180164,-6.97593320,107.63017992,0.487,-0.003,1.5163,5.46,90.64
2026-06-11T15:54:41.764,180174,-6.97593320,107.63018001,0.498,-0.003,1.5255,5.49,90.58
2026-06-11T15:54:41.764,180184,-6.97593320,107.63018010,0.508,-0.004,1.5349,5.53,90.52
2026-06-11T15:54:41.764,180194,-6.97593320,107.63018020,0.518,-0.004,1.5440,5.56,90.48
2026-06-11T15:54:41.765,180204,-6.97593320,107.63018029,0.529,-0.004,1.5530,5.59,90.46
2026-06-11T15:54:41.765,180214,-6.97593320,107.63018038,0.539,-0.004,1.5623,5.62,90.44
2026-06-11T15:54:41.765,180224,-6.97593320,107.63018048,0.549,-0.004,1.5714,5.66,90.43
2026-06-11T15:54:42.056,180234,-6.97593320,107.63018057,0.559,-0.004,1.5798,5.69,90.42
2026-06-11T15:54:42.056,180244,-6.97593320,107.63018066,0.570,-0.004,1.5874,5.71,90.42
2026-06-11T15:54:42.057,180254,-6.97593320,107.63018075,0.580,-0.004,1.5943,5.74,90.40
2026-06-11T15:54:42.057,180264,-6.97593320,107.63018085,0.590,-0.004,1.6012,5.76,90.38
2026-06-11T15:54:42.057,180274,-6.97593321,107.63018094,0.600,-0.004,1.6087,5.79,90.36
2026-06-11T15:54:42.058,180284,-6.97593321,107.63018103,0.610,-0.004,1.6164,5.82,90.33
2026-06-11T15:54:42.058,180294,-6.97593321,107.63018112,0.620,-0.004,1.6250,5.85,90.28
2026-06-11T15:54:42.058,180304,-6.97593321,107.63018121,0.630,-0.004,1.6339,5.88,90.24
2026-06-11T15:54:42.058,180314,-6.97593321,107.63018130,0.640,-0.004,1.6423,5.91,90.19
2026-06-11T15:54:42.059,180324,-6.97593321,107.63018139,0.650,-0.005,1.6514,5.95,90.17
2026-06-11T15:54:42.059,180334,-6.97593321,107.63018148,0.660,-0.005,1.6620,5.98,90.16
2026-06-11T15:54:42.059,180344,-6.97593321,107.63018157,0.670,-0.005,1.6726,6.02,90.16
2026-06-11T15:54:42.059,180354,-6.97593321,107.63018166,0.680,-0.005,1.6814,6.05,90.17
2026-06-11T15:54:42.060,180364,-6.97593321,107.63018175,0.690,-0.005,1.6893,6.08,90.19
2026-06-11T15:54:42.060,180374,-6.97593321,107.63018184,0.700,-0.005,1.6964,6.11,90.21
2026-06-11T15:54:42.060,180384,-6.97593321,107.63018193,0.710,-0.005,1.7026,6.13,90.21
2026-06-11T15:54:42.061,180394,-6.97593321,107.63018202,0.719,-0.005,1.7092,6.15,90.20
2026-06-11T15:54:42.061,180404,-6.97593321,107.63018211,0.729,-0.005,1.7177,6.18,90.18
2026-06-11T15:54:42.062,180414,-6.97593321,107.63018219,0.739,-0.005,1.7263,6.21,90.15
2026-06-11T15:54:42.062,180424,-6.97593321,107.63018228,0.748,-0.005,1.7334,6.24,90.11
2026-06-11T15:54:42.213,180434,-6.97593321,107.63018237,0.758,-0.005,1.7402,6.26,90.07
2026-06-11T15:54:42.213,180444,-6.97593321,107.63018245,0.768,-0.005,1.7465,6.29,90.04
2026-06-11T15:54:42.213,180454,-6.97593321,107.63018254,0.777,-0.005,1.7522,6.31,90.03
2026-06-11T15:54:42.214,180464,-6.97593321,107.63018263,0.786,-0.005,1.7589,6.33,90.04
2026-06-11T15:54:42.215,180474,-6.97593321,107.63018183,0.699,-0.004,1.3997,5.04,90.06
2026-06-11T15:54:42.215,180484,-6.97593321,107.63018190,0.706,-0.004,1.4071,5.07,90.10
2026-06-11T15:54:42.215,180494,-6.97593321,107.63018197,0.714,-0.004,1.4144,5.09,90.15
2026-06-11T15:54:42.216,180504,-6.97593321,107.63018203,0.721,-0.004,1.4224,5.12,90.19
2026-06-11T15:54:42.216,180514,-6.97593321,107.63018210,0.728,-0.004,1.4299,5.15,90.23
2026-06-11T15:54:42.216,180524,-6.97593321,107.63018216,0.736,-0.004,1.4366,5.17,90.26
2026-06-11T15:54:42.216,180534,-6.97593321,107.63018223,0.743,-0.004,1.4430,5.19,90.29
2026-06-11T15:54:42.217,180544,-6.97593321,107.63018229,0.750,-0.005,1.4505,5.22,90.31
2026-06-11T15:54:42.217,180554,-6.97593321,107.63018236,0.757,-0.005,1.4590,5.25,90.32
2026-06-11T15:54:42.217,180564,-6.97593321,107.63018242,0.764,-0.005,1.4673,5.28,90.33
2026-06-11T15:54:42.218,180574,-6.97593321,107.63018249,0.771,-0.005,1.4755,5.31,90.33
2026-06-11T15:54:42.218,180584,-6.97593321,107.63018255,0.778,-0.005,1.4840,5.34,90.33
2026-06-11T15:54:42.218,180594,-6.97593321,107.63018262,0.785,-0.005,1.4926,5.37,90.33
2026-06-11T15:54:42.218,180604,-6.97593321,107.63018268,0.792,-0.005,1.5012,5.40,90.35
2026-06-11T15:54:42.219,180614,-6.97593321,107.63018274,0.799,-0.005,1.5096,5.43,90.38
2026-06-11T15:54:42.219,180624,-6.97593321,107.63018280,0.806,-0.005,1.5179,5.46,90.40
2026-06-11T15:54:42.369,180634,-6.97593321,107.63018287,0.813,-0.005,1.5264,5.49,90.43
