wall_time,mcu_ts_ms,lat,lon,pos_east_m,pos_north_m,speed_ms,speed_kmh,heading_deg
2026-06-11T16:01:19.047,50036,-6.97711967,107.63021567,0.000,-0.000,0.0228,0.08,90.53
2026-06-11T16:01:19.056,50046,-6.97711967,107.63021567,0.000,-0.000,0.0365,0.13,90.95
2026-06-11T16:01:19.066,50057,-6.97711967,107.63021567,0.001,-0.000,0.0401,0.14,91.35
2026-06-11T16:01:19.075,50067,-6.97711967,107.63021568,0.001,-0.000,0.0373,0.13,91.71
2026-06-11T16:01:19.086,50078,-6.97711967,107.63021568,0.001,-0.000,0.0248,0.09,92.10
2026-06-11T16:01:19.097,50088,-6.97711967,107.63021568,0.002,-0.000,0.0028,0.01,92.49
2026-06-11T16:01:19.107,50098,-6.97711967,107.63021568,0.001,-0.000,-0.0305,-0.11,92.90
2026-06-11T16:01:19.118,50109,-6.97711967,107.63021568,0.001,-0.000,-0.0664,-0.24,93.32
2026-06-11T16:01:19.128,50119,-6.97711967,107.63021567,0.000,0.000,-0.0650,-0.23,93.43
2026-06-11T16:01:19.138,50129,-6.97711967,107.63021567,-0.000,0.000,-0.0278,-0.10,93.06
2026-06-11T16:01:19.149,50140,-6.97711967,107.63021567,-0.000,0.000,0.0388,0.14,92.36
2026-06-11T16:01:19.159,50151,-6.97711967,107.63021567,0.001,0.000,0.1148,0.41,91.68
2026-06-11T16:01:19.170,50161,-6.97711967,107.63021569,0.002,-0.000,0.1779,0.64,91.25
2026-06-11T16:01:19.180,50171,-6.97711967,107.63021570,0.004,-0.000,0.2255,0.81,91.06
2026-06-11T16:01:19.190,50182,-6.97711967,107.63021572,0.006,-0.000,0.2584,0.93,91.08
2026-06-11T16:01:19.201,50192,-6.97711967,107.63021574,0.008,-0.000,0.2728,0.98,91.21
2026-06-11T16:01:19.211,50203,-6.97711967,107.63021577,0.011,-0.000,0.2600,0.94,91.33
2026-06-11T16:01:19.221,50212,-6.97711967,107.63021579,0.013,-0.000,0.2495,0.90,91.43
2026-06-11T16:01:19.230,50222,-6.97711967,107.63021580,0.015,-0.000,0.2381,0.86,91.50
2026-06-11T16:01:19.240,50232,-6.97711967,107.63021582,0.017,-0.000,0.2368,0.85,91.52
2026-06-11T16:01:19.455,50242,-6.97711967,107.63021584,0.019,-0.000,0.2454,0.88,91.46
2026-06-11T16:01:19.455,50252,-6.97711967,107.63021586,0.021,-0.000,0.2580,0.93,91.31
2026-06-11T16:01:19.455,50262,-6.97711967,107.63021588,0.024,-0.001,0.2687,0.97,91.07
2026-06-11T16:01:19.456,50272,-6.97711967,107.63021590,0.026,-0.001,0.2729,0.98,90.76
2026-06-11T16:01:19.456,50282,-6.97711967,107.63021592,0.028,-0.001,0.2708,0.97,90.33
2026-06-11T16:01:19.456,50292,-6.97711967,107.63021594,0.030,-0.001,0.2682,0.97,89.60
2026-06-11T16:01:19.456,50302,-6.97711967,107.63021596,0.032,-0.001,0.2656,0.96,88.76
2026-06-11T16:01:19.457,50312,-6.97711967,107.63021598,0.035,-0.001,0.2617,0.94,87.86
2026-06-11T16:01:19.457,50322,-6.97711967,107.63021600,0.037,-0.000,0.2507,0.90,87.00
2026-06-11T16:01:19.457,50332,-6.97711967,107.63021602,0.039,-0.000,0.2368,0.85,86.36
2026-06-11T16:01:19.457,50342,-6.97711967,107.63021603,0.041,-0.000,0.2424,0.87,86.18
2026-06-11T16:01:19.457,50352,-6.97711967,107.63021605,0.043,-0.000,0.2466,0.89,86.35
2026-06-11T16:01:19.458,50362,-6.97711967,107.63021607,0.044,0.000,0.2417,0.87,86.68
2026-06-11T16:01:19.458,50372,-6.97711968,107.63022256,0.760,-0.001,3.5756,12.87,87.07
2026-06-11T16:01:19.458,50382,-6.97711966,107.63022281,0.788,0.000,3.5780,12.88,87.48
2026-06-11T16:01:19.459,50392,-6.97711965,107.63022306,0.816,0.002,3.5878,12.92,87.89
2026-06-11T16:01:19.459,50402,-6.97711964,107.63022331,0.844,0.003,3.6044,12.98,88.26
2026-06-11T16:01:19.459,50412,-6.97711964,107.63022356,0.871,0.003,3.6233,13.04,88.61
2026-06-11T16:01:19.459,50422,-6.97711963,107.63022381,0.899,0.004,3.6384,13.10,88.93
2026-06-11T16:01:19.460,50432,-6.97711963,107.63022406,0.927,0.005,3.6484,13.13,89.21
2026-06-11T16:01:19.598,50442,-6.97711962,107.63022431,0.954,0.005,3.6517,13.15,89.44
2026-06-11T16:01:19.598,50452,-6.97711962,107.63022456,0.981,0.005,3.6484,13.13,89.60
2026-06-11T16:01:19.598,50462,-6.97711962,107.63022480,1.008,0.005,3.6420,13.11,89.66
2026-06-11T16:01:19.599,50472,-6.97711962,107.63022504,1.035,0.006,3.6355,13.09,89.63
2026-06-11T16:01:19.599,50482,-6.97711962,107.63022528,1.061,0.006,3.6317,13.07,89.53
2026-06-11T16:01:19.599,50492,-6.97711961,107.63022552,1.088,0.006,3.6326,13.08,89.37
2026-06-11T16:01:19.599,50502,-6.97711961,107.63022576,1.114,0.006,3.6380,13.10,89.19
2026-06-11T16:01:19.600,50512,-6.97711961,107.63022600,1.140,0.007,3.6454,13.12,89.02
