wall_time,mcu_ts_ms,lat,lon,pos_east_m,pos_north_m,speed_ms,speed_kmh,heading_deg
2026-06-15T16:40:57.167,4993,-6.97573367,107.63023517,0.000,-0.000,0.0040,0.01,90.00
2026-06-15T16:40:57.177,5003,-6.97573367,107.63023517,0.000,0.000,0.0088,0.03,89.99
2026-06-15T16:40:57.188,5014,-6.97573367,107.63023517,0.000,0.000,0.0133,0.05,89.99
2026-06-15T16:40:57.198,5024,-6.97573367,107.63023517,0.000,0.000,0.0166,0.06,89.98
2026-06-15T16:40:57.208,5034,-6.97573367,107.63023517,0.001,0.000,0.0210,0.08,89.98
2026-06-15T16:40:57.218,5044,-6.97573367,107.63023517,0.001,0.000,0.0256,0.09,89.97
2026-06-15T16:40:57.228,5054,-6.97573367,107.63023518,0.001,0.000,0.0296,0.11,89.97
2026-06-15T16:40:57.238,5064,-6.97573367,107.63023518,0.001,0.000,0.0328,0.12,89.96
2026-06-15T16:40:57.248,5074,-6.97573367,107.63023518,0.002,0.000,0.0365,0.13,89.96
2026-06-15T16:40:57.258,5084,-6.97573367,107.63023518,0.002,0.000,0.0411,0.15,89.96
2026-06-15T16:40:57.268,5094,-6.97573367,107.63023519,0.002,0.000,0.0457,0.16,89.95
2026-06-15T16:40:57.278,5104,-6.97573367,107.63023519,0.003,0.000,0.0490,0.18,89.95
2026-06-15T16:40:57.288,5114,-6.97573367,107.63023520,0.003,0.000,0.0527,0.19,89.94
2026-06-15T16:40:57.298,5124,-6.97573367,107.63023520,0.004,0.000,0.0574,0.21,89.94
2026-06-15T16:40:57.308,5134,-6.97573367,107.63023521,0.004,0.000,0.0616,0.22,89.94
2026-06-15T16:40:57.318,5144,-6.97573367,107.63023521,0.005,0.000,0.0652,0.23,89.93
2026-06-15T16:40:57.328,5154,-6.97573367,107.63023522,0.005,0.000,0.0687,0.25,89.93
2026-06-15T16:40:57.339,5165,-6.97573367,107.63023522,0.006,0.000,0.0739,0.27,89.92
2026-06-15T16:40:57.349,5175,-6.97573367,107.63023523,0.007,0.000,0.0784,0.28,89.92
2026-06-15T16:40:57.359,5185,-6.97573367,107.63023523,0.007,0.000,0.0817,0.29,89.92
2026-06-15T16:40:57.519,5195,-6.97573367,107.63023524,0.008,0.000,0.0851,0.31,89.91
2026-06-15T16:40:57.520,5205,-6.97573367,107.63023525,0.009,0.000,0.0898,0.32,89.91
2026-06-15T16:40:57.521,5215,-6.97573367,107.63023525,0.010,0.000,0.0942,0.34,89.90
2026-06-15T16:40:57.521,5225,-6.97573367,107.63023526,0.010,0.000,0.0978,0.35,89.90
2026-06-15T16:40:57.521,5235,-6.97573367,107.63023527,0.011,0.000,0.1012,0.36,89.89
2026-06-15T16:40:57.522,5245,-6.97573367,107.63023528,0.012,0.000,0.1059,0.38,89.89
2026-06-15T16:40:57.522,5255,-6.97573367,107.63023528,0.013,0.000,0.1109,0.40,89.88
2026-06-15T16:40:57.523,5265,-6.97573367,107.63023529,0.014,0.000,0.1145,0.41,89.88
2026-06-15T16:40:57.523,5275,-6.97573367,107.63023530,0.015,0.000,0.1175,0.42,89.88
2026-06-15T16:40:57.523,5285,-6.97573367,107.63023531,0.016,0.000,0.1213,0.44,89.87
2026-06-15T16:40:57.523,5295,-6.97573367,107.63023532,0.017,0.000,0.1259,0.45,89.87
2026-06-15T16:40:57.524,5305,-6.97573367,107.63023533,0.018,0.000,0.1298,0.47,89.86
2026-06-15T16:40:57.524,5315,-6.97573367,107.63023534,0.019,0.000,0.1334,0.48,89.86
2026-06-15T16:40:57.524,5325,-6.97573367,107.63023535,0.020,0.000,0.1376,0.50,89.86
2026-06-15T16:40:57.524,5335,-6.97573367,107.63023536,0.021,0.000,0.1429,0.51,89.85
2026-06-15T16:40:57.524,5345,-6.97573367,107.63023537,0.022,0.000,0.1469,0.53,89.85
2026-06-15T16:40:57.528,5355,-6.97573367,107.63023538,0.023,0.000,0.1500,0.54,89.85
2026-06-15T16:40:57.538,5365,-6.97573367,107.63023539,0.024,0.000,0.1537,0.55,89.84
2026-06-15T16:40:57.548,5375,-6.97573367,107.63023540,0.026,0.000,0.1583,0.57,89.84
2026-06-15T16:40:57.558,5385,-6.97573367,107.63023506,-0.011,-0.000,0.0053,0.02,89.83
2026-06-15T16:40:57.680,5395,-6.97573367,107.63023506,-0.011,-0.000,0.0086,0.03,89.83
2026-06-15T16:40:57.680,5405,-6.97573367,107.63023506,-0.011,-0.000,0.0125,0.05,89.82
2026-06-15T16:40:57.680,5415,-6.97573367,107.63023507,-0.011,-0.000,0.0172,0.06,89.82
2026-06-15T16:40:57.681,5425,-6.97573367,107.63023507,-0.011,-0.000,0.0218,0.08,89.82
2026-06-15T16:40:57.681,5435,-6.97573367,107.63023507,-0.011,-0.000,0.0249,0.09,89.81
2026-06-15T16:40:57.681,5445,-6.97573367,107.63023507,-0.011,-0.000,0.0282,0.10,89.81
2026-06-15T16:40:57.681,5455,-6.97573367,107.63023507,-0.010,-0.000,0.0325,0.12,89.81
2026-06-15T16:40:57.682,5465,-6.97573367,107.63023507,-0.010,-0.000,0.0355,0.13,89.80
2026-06-15T16:40:57.682,5475,-6.97573367,107.63023508,-0.010,-0.000,0.0391,0.14,89.80
2026-06-15T16:40:57.682,5485,-6.97573367,107.63023508,-0.010,-0.000,0.0441,0.16,89.80
2026-06-15T16:40:57.682,5495,-6.97573367,107.63023508,-0.009,-0.000,0.0491,0.18,89.79
2026-06-15T16:40:57.682,5505,-6.97573367,107.63023509,-0.009,-0.000,0.0527,0.19,89.79
2026-06-15T16:40:57.688,5515,-6.97573367,107.63023509,-0.009,-0.000,0.0563,0.20,89.78
2026-06-15T16:40:57.699,5525,-6.97573367,107.63023509,-0.008,-0.000,0.0606,0.22,89.78
2026-06-15T16:40:57.709,5535,-6.97573367,107.63023510,-0.008,-0.000,0.0650,0.23,89.78
2026-06-15T16:40:57.718,5545,-6.97573367,107.63023510,-0.007,-0.000,0.0681,0.25,89.77
2026-06-15T16:40:57.729,5555,-6.97573367,107.63023511,-0.007,-0.000,0.0714,0.26,89.77
2026-06-15T16:40:57.738,5565,-6.97573367,107.63023511,-0.006,0.000,0.0762,0.27,89.76
2026-06-15T16:40:57.748,5575,-6.97573367,107.63023511,-0.006,0.000,0.0817,0.29,89.76
2026-06-15T16:40:57.758,5585,-6.97573367,107.63023512,-0.005,0.000,0.0853,0.31,89.75
2026-06-15T16:40:57.898,5595,-6.97573367,107.63023512,-0.005,0.000,0.0887,0.32,89.75
2026-06-15T16:40:57.899,5605,-6.97573367,107.63023513,-0.004,0.000,0.0925,0.33,89.75
2026-06-15T16:40:57.899,5615,-6.97573367,107.63023514,-0.004,0.000,0.0971,0.35,89.74
2026-06-15T16:40:57.899,5625,-6.97573367,107.63023514,-0.003,0.000,0.1008,0.36,89.74
2026-06-15T16:40:57.899,5635,-6.97573367,107.63023515,-0.002,0.000,0.1038,0.37,89.73
2026-06-15T16:40:57.900,5645,-6.97573367,107.63023515,-0.002,0.000,0.1080,0.39,89.73
2026-06-15T16:40:57.900,5655,-6.97573367,107.63023516,-0.001,0.000,0.1133,0.41,89.73
2026-06-15T16:40:57.900,5665,-6.97573367,107.63023517,-0.000,0.000,0.1172,0.42,89.72
