wall_time,frame_type,mcu_ts_ms,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,gps_lat,gps_lon,gps_speed_kmh,hdop,satellites,fix_valid,obd_speed_kmh,lora_node,lora_lat,lora_lon,lora_speed_kmh,lora_alert,lora_rssi_dbm,lora_snr_db
2026-04-23T11:36:53.097,IMU,68262,-0.374755859375,-0.641357421875,0.556884765625,0.004261057823896408,0.04980111122131348,-0.00532632227987051,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68273,-0.380615234375,-0.63916015625,0.55322265625,0.003994741477072239,0.057257965207099915,0.013315805234014988,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68282,-0.37890625,-0.641845703125,0.55615234375,0.005858954507857561,0.0487358495593071,0.02263686992228031,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68292,-0.385009765625,-0.634033203125,0.555419921875,0.0029294772539287806,0.047137949615716934,0.03302319720387459,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68302,-0.379638671875,-0.62939453125,0.55615234375,-0.005592638161033392,0.02822950668632984,0.027696875855326653,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68312,-0.380126953125,-0.629150390625,0.55078125,-0.008522115647792816,0.011717909015715122,0.020506341010332108,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68322,-0.375,-0.631103515625,0.5556640625,-0.007723167072981596,-0.009321063756942749,0.01091896090656519,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,GPS,68325,,,,,,,-6.358877,107.292547,0.3333599865436554,1.0700000524520874,11,1,,,,,,,,
2026-04-23T11:36:53.097,IMU,68333,-0.374267578125,-0.627685546875,0.5498046875,0.001065264455974102,-0.017310546711087227,0.009587380103766918,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,GPS,68335,,,,,,,-6.358877,107.292547,0.3333599865436554,1.0700000524520874,11,1,,,,,,,,
2026-04-23T11:36:53.097,IMU,68343,-0.37060546875,-0.624267578125,0.55224609375,0.005060005933046341,-0.030892668291926384,0.004793690051883459,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68352,-0.377197265625,-0.6337890625,0.554443359375,0.012783173471689224,-0.024767398834228516,-0.001597896683961153,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68363,-0.373779296875,-0.642333984375,0.56005859375,0.019707392901182175,-0.01411475334316492,-0.003195793367922306,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68373,-0.3798828125,-0.640869140625,0.55517578125,0.0324905663728714,0.013582121580839157,0.006657902617007494,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68383,-0.374267578125,-0.629150390625,0.553466796875,0.03515372797846794,0.02370213344693184,0.008522115647792816,,,,,,,,,,,,,,
2026-04-23T11:36:53.097,IMU,68393,-0.373046875,-0.630126953125,0.545654296875,0.030360035598278046,0.030892668291926384,0.001597896683961153,,,,,,,,,,,,,,
2026-04-23T11:36:53.100,IMU,68403,-0.369140625,-0.6416015625,0.5498046875,0.026098977774381638,0.01944107562303543,0.0002663161139935255,,,,,,,,,,,,,,
2026-04-23T11:36:53.110,IMU,68413,-0.375,-0.64111328125,0.549560546875,0.015180017799139023,0.018642127513885498,0.013315805234014988,,,,,,,,,,,,,,
